14732,20150801,0051,11,CLR, ,10.00, , , ,81, ,27.2, ,67, ,19.3, ,58, ,14.4, , 46, , 7, ,220, , , ,29.77, , , , , ,29.80, ,AA, , , ,29.80, 
14732,20150801,0151,11,SCT100, ,10.00, , , ,80, ,26.7, ,66, ,19.1, ,58, ,14.4, , 47, , 9, ,240, , , ,29.76, , , , , ,29.79, ,AA, , , ,29.79, 
14732,20150801,0251,11,SCT110, ,10.00, , , ,80, ,26.7, ,66, ,19.1, ,58, ,14.4, , 47, ,10, ,230, , , ,29.75, , , , , ,29.78, ,AA, , , ,29.78, 
14732,20150801,0351,11,SCT110, ,10.00, , , ,79, ,26.1, ,66, ,18.9, ,58, ,14.4, , 49, , 9, ,230, ,17, ,29.75, , , , , ,29.78, ,AA, , , ,29.78, 
14732,20150801,0451,11,SCT110, ,10.00, , , ,77, ,25.0, ,66, ,18.8, ,59, ,15.0, , 54, , 8, ,230, , , ,29.75, , , , , ,29.78, ,AA, , , ,29.78, 
14732,20150801,0551,11,SCT110 SCT250, ,10.00, , , ,78, ,25.6, ,67, ,19.3, ,60, ,15.6, , 54, , 6, ,230, , , ,29.76, , , , , ,29.78, ,AA, , , ,29.79, 
14732,20150801,0651,11,SCT100 SCT250, ,10.00, , , ,79, ,26.1, ,67, ,19.5, ,60, ,15.6, , 52, , 6, ,230, , , ,29.76, , , , , ,29.79, ,AA, , , ,29.79, 
14732,20150801,0751,11,SCT100 SCT250, ,10.00, , , ,82, ,27.8, ,68, ,20.0, ,60, ,15.6, , 47, , 8, ,220, , , ,29.76, , , , , ,29.78, ,AA, , , ,29.79, 
14732,20150801,0851,11,SCT110 BKN250, ,10.00, , , ,84, ,28.9, ,68, ,20.1, ,59, ,15.0, , 43, ,10, ,270, , , ,29.76, , , , , ,29.79, ,AA, , , ,29.79, 
14732,20150801,0951,11,BKN100 OVC120, ,10.00, , , ,83, ,28.3, ,68, ,19.9, ,59, ,15.0, , 44, ,11, ,250, , , ,29.77, , , , , ,29.79, ,AA, , , ,29.80, 
14732,20150801,1051,11,FEW050 SCT110 BKN250, ,10.00, , , ,85, ,29.4, ,69, ,20.3, ,59, ,15.0, , 41, ,13, ,270, , , ,29.77, , , , , ,29.80, ,AA, , , ,29.80, 
14732,20150801,1151,11,FEW055, ,10.00, , , ,87, ,30.6, ,69, ,20.3, ,58, ,14.4, , 37, , 8, ,270, , , ,29.76, , , , , ,29.79, ,AA, , , ,29.79, 
14732,20150801,1251,11,SCT055 SCT120, ,10.00, , , ,89, ,31.7, ,67, ,19.4, ,53, ,11.7, , 29, ,15, ,250, ,28, ,29.75, , , , , ,29.78, ,AA, , , ,29.78, 
14732,20150801,1351,11,SCT075 BKN120, ,10.00, , , ,90, ,32.2, ,67, ,19.3, ,52, ,11.1, , 27, ,14, ,280, , , ,29.74, , , , , ,29.77, ,AA, , , ,29.77, 
14732,20150801,1451,11,BKN080, ,10.00, , , ,89, ,31.7, ,67, ,19.1, ,52, ,11.1, , 28, ,11, ,260, ,23, ,29.73, , , , , ,29.75, ,AA, , , ,29.76, 
14732,20150801,1551,11,BKN080, ,10.00, , , ,89, ,31.7, ,67, ,19.4, ,53, ,11.7, , 29, ,10, ,290, ,22, ,29.73, , , , , ,29.76, ,AA, , , ,29.76, 
14732,20150801,1651,11,FEW080 BKN110, ,10.00, , , ,87, ,30.6, ,67, ,19.5, ,55, ,12.8, , 34, ,16, ,300, ,20, ,29.74, , , , , ,29.76, ,AA, , , ,29.77, 
14732,20150801,1751,11,FEW075 SCT110, ,10.00, , , ,85, ,29.4, ,68, ,19.7, ,57, ,13.9, , 39, ,13, ,310, ,20, ,29.74, , , , , ,29.77, ,AA, , , ,29.77, 
14732,20150801,1851,11,FEW075 SCT130, ,10.00, , , ,84, ,28.9, ,67, ,19.3, ,56, ,13.3, , 38, ,14, ,300, ,20, ,29.76, , , , , ,29.79, ,AA, , , ,29.79, 
14732,20150801,1951,11,FEW075 SCT130, ,10.00, , , ,82, ,27.8, ,67, ,19.2, ,57, ,13.9, , 43, , 7, ,300, , , ,29.78, , , , , ,29.81, ,AA, , , ,29.81, 
14732,20150801,2051,11,FEW075 SCT130, ,10.00, , , ,81, ,27.2, ,67, ,19.3, ,58, ,14.4, , 46, , 9, ,310, , , ,29.81, , , , , ,29.83, ,AA, , , ,29.84, 
14732,20150801,2151,11,FEW130, ,10.00, , , ,80, ,26.7, ,66, ,18.8, ,57, ,13.9, , 45, , 6, ,300, , , ,29.81, , , , , ,29.84, ,AA, , , ,29.84, 
14732,20150801,2251,11,FEW130, ,10.00, , , ,79, ,26.1, ,66, ,18.9, ,58, ,14.4, , 49, , 6, ,310, , , ,29.81, , , , , ,29.84, ,AA, , , ,29.84, 
14732,20150801,2351,11,BKN130, ,10.00, , , ,78, ,25.6, ,66, ,19.0, ,59, ,15.0, , 52, , 6, ,300, , , ,29.82, , , , , ,29.85, ,AA, , , ,29.85, 
14732,20150802,0051,11,SCT120, ,10.00, , , ,77, ,25.0, ,65, ,18.5, ,58, ,14.4, , 52, , 3, ,320, , , ,29.83, , , , , ,29.86, ,AA, , , ,29.86, 
14732,20150802,0151,11,FEW120, ,10.00, , , ,76, ,24.4, ,65, ,18.3, ,58, ,14.4, , 54, , 3, ,320, , , ,29.83, , , , , ,29.86, ,AA, , , ,29.86, 
14732,20150802,0251,11,FEW130, ,10.00, , , ,76, ,24.4, ,65, ,18.0, ,57, ,13.9, , 52, , 6, ,300, , , ,29.83, , , , , ,29.86, ,AA, , , ,29.86, 
